"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"185",38037,"Lambton Shores M",3538040,"Lambton","Municipality","Lambton Shores",76817,62167
"186",38040,"Warwick Tp",3538043,"Lambton","Township","Warwick",71291,60132
"187",39000,"Middlesex Co",NA,NA,NA,NA,NA,NA
"188",39002,"Newbury V",3539002,"Middlesex","Village","Newbury",50224,40612
"189",39003,"Southwest Middlesex M",3539005,"Middlesex","Municipality","Southwest Middlesex",63208,55347
"190",39010,"Adelaide-Metcalfe Tp",3539047,"Middlesex","Township","Adelaide-Metcalfe",81447,69361
"191",39013,"Strathroy-Caradoc Tp",3539015,"Middlesex","Township","Strathroy-Caradoc",69779,59737
"192",39020,"Middlesex Centre M",3539033,"Middlesex","Township","Middlesex Centre",112549,91701
"193",39025,"Thames Centre M",3539027,"Middlesex","Municipality","Thames Centre",100069,80714
"194",39036,"London C",3539036,"Middlesex","City","London",73107,56241
"195",39041,"North Middlesex M",3539041,"Middlesex","Municipality","North Middlesex",78566,65680
"196",39057,"Lucan Biddulph Tp",3539060,"Middlesex","Township","Lucan Biddulph",81839,73073
"197",40000,"Huron Co",NA,NA,NA,NA,NA,NA
"198",40003,"South Huron M",3540005,"Huron","Municipality","South Huron",78021,56447
"199",40010,"Bluewater M",3540010,"Huron","Municipality","Bluewater",74076,57894
"200",40015,"Huron East M",3540040,"Huron","Municipality","Huron East",70756,60124
"201",40025,"Central Huron M",3540025,"Huron","Municipality","Central Huron",63761,51954
"202",40028,"Goderich T",3540028,"Huron","Town","Goderich",69152,56573
"203",40030,"Ashfield-Colborne-Wawanosh Tp",3540063,"Huron","Township","Ashfield-Colborne-Wawanosh",75319,62288
"204",40046,"Howick Tp",3540046,"Huron","Township","Howick",69202,63225
"205",40048,"Morris-Turnberry M",3540050,"Huron","Municipality","Morris-Turnberry",75007,64417
"206",40050,"North Huron Tp",3540055,"Huron","Township","North Huron",72321,57763
"207",41000,"Bruce Co",NA,NA,NA,NA,NA,NA
"208",41004,"South Bruce M",3541004,"Bruce","Municipality","South Bruce",76451,67189
"209",41010,"Huron-Kinloss Tp",3541015,"Bruce","Township","Huron-Kinloss",92270,72470
"210",41020,"Kincardine M",3541024,"Bruce","Municipality","Kincardine",96059,78284
"211",41030,"Brockton M",3541032,"Bruce","Municipality","Brockton",78630,65065
"212",41037,"Arran-Elderslie M",3541043,"Bruce","Municipality","Arran-Elderslie",76329,60362
"213",41043,"Saugeen Shores T",3541045,"Bruce","Town","Saugeen Shores",99673,81410
"214",41053,"The South Bruce Peninsula T",3541055,"Bruce","Town","South Bruce Peninsula",65291,52493
"215",41061,"Northern Bruce Peninsula M",3541069,"Bruce","Municipality","Northern Bruce Peninsula",66873,50658
"216",42000,"Grey Co",NA,NA,NA,NA,NA,NA
"217",42004,"West Grey M",3542004,"Grey","Municipality","West Grey",68572,59205
"218",42005,"Southgate Tp",3542005,"Grey","Township","Southgate",70545,56480
"219",42013,"Grey Highlands M",3542015,"Grey","Municipality","Grey Highlands",70773,58943
"220",42029,"Hanover T",3542029,"Grey","Town","Hanover",64177,46595
"221",42031,"Chatsworth Tp",3542037,"Grey","Township","Chatsworth",70392,57378
"222",42041,"The Blue Mountains T",3542045,"Grey","Town","The Blue Mountains",90258,66428
"223",42047,"Meaford M",3542047,"Grey","Municipality","Meaford",72637,64666
"224",42055,"Georgian Bluffs Tp",3542053,"Grey","Township","Georgian Bluffs",83566,68520
"225",42059,"Owen Sound C",3542059,"Grey","City","Owen Sound",61960,49428
"226",43000,"Simcoe Co",NA,NA,NA,NA,NA,NA
"227",43002,"Adjala-Tosorontio Tp",NA,NA,NA,NA,NA,NA
"228",43013,"Bradford-West Gwillimbury T",3543014,"Simcoe","Town","Bradford West Gwillimbury",92290,83205
"229",43017,"Innisfil T",3543017,"Simcoe","Town","Innisfil",81632,70252
"230",43021,"Essa Tp",3543021,"Simcoe","Township","Essa",90651,79877
"231",43025,"New Tecumseth T",3543007,"Simcoe","Town","New Tecumseth",87448,77961
"232",43030,"Clearview Tp",3543005,"Simcoe","Township","Clearview",82545,69432
"233",43031,"Collingwood T",3543031,"Simcoe","Town","Collingwood",72915,56131
"234",43040,"Springwater Tp",3543009,"Simcoe","Township","Springwater",108065,84723
"235",43042,"Barrie C",3543042,"Simcoe","City","Barrie",80928,69471
"236",43047,"Oro-Medonte Tp",3543023,"Simcoe","Township","Oro-Medonte",103387,84129
"237",43050,"Ramara Tp",3543019,"Simcoe","Township","Ramara",76271,65221
"238",43052,"Orillia C",3543052,"Simcoe","City","Orillia",63896,48972
"239",43064,"Wasaga Beach T",3543064,"Simcoe","Town","Wasaga Beach",66250,54241
"240",43068,"Tiny Tp",3543068,"Simcoe","Township","Tiny",77349,65666
"241",43070,"Tay Tp",3543071,"Simcoe","Township","Tay",71233,60012
"242",43072,"Penetanguishene T",3543072,"Simcoe","Town","Penetanguishene",68926,55901
"243",43074,"Midland T",3543074,"Simcoe","Town","Midland",62713,48496
"244",43080,"Severn Tp",3543015,"Simcoe","Township","Severn",78895,66186
"245",44000,"Muskoka D",NA,NA,NA,NA,NA,NA
"246",44002,"Gravenhurst T",3544002,"Muskoka","Town","Gravenhurst",63372,52010
"247",44018,"Bracebridge T",3544018,"Muskoka","Town","Bracebridge",74616,65932
"248",44027,"Lake of Bays Tp",NA,NA,NA,NA,NA,NA
"249",44042,"Huntsville T",3544042,"Muskoka","Town","Huntsville",74217,62673
"250",44053,"Muskoka Lakes Tp",NA,NA,NA,NA,NA,NA
"251",44065,"Georgian Bay Tp",NA,NA,NA,NA,NA,NA
"252",46000,"Haliburton Co",NA,NA,NA,NA,NA,NA
"253",46002,"Highlands East M",3546005,"Haliburton","Municipality","Highlands East",57580,47434
"254",46011,"Minden Hills Tp",3546015,"Haliburton","Township","Minden Hills",72890,51693
"255",46020,"Algonquin Highlands Tp",NA,NA,NA,NA,NA,NA
"256",46024,"Dysart et al Tp",NA,NA,NA,NA,NA,NA
"257",47000,"Renfrew Co",NA,NA,NA,NA,NA,NA
"258",47002,"Arnprior T",3547002,"Renfrew","Town","Arnprior",66287,53250
"259",47003,"McNab-Braeside Tp",3547003,"Renfrew","Township","McNab/Braeside",81479,75345
"260",47007,"Greater Madawaska Tp",NA,NA,NA,NA,NA,NA
"261",47015,"Bonnechere Valley Tp",NA,NA,NA,NA,NA,NA
"262",47018,"Brudenell, Lyndoch and Raglan Tp",3547020,"Renfrew","Township","Brudenell, Lyndoch and Raglan",49430,38137
"263",47023,"Madawaska Valley Tp",NA,NA,NA,NA,NA,NA
"264",47030,"Killaloe, Hagarty and Richards Tp",NA,NA,NA,NA,NA,NA
"265",47041,"Admaston/Bromley Tp",3547043,"Renfrew","Township","Admaston/Bromley",71156,66668
"266",47046,"Horton Tp",3547046,"Renfrew","Township","Horton",70605,68433
"267",47048,"Renfrew T",3547048,"Renfrew","Town","Renfrew",52925,41223
"268",47050,"Whitewater Region Tp",3547056,"Renfrew","Township","Whitewater Region",63863,55794
"269",47063,"Laurentian Valley Tp",3547075,"Renfrew","Township","Laurentian Valley",85855,75782
"270",47064,"Pembroke C",3547064,"Renfrew","City","Pembroke",60123,47801
"271",47068,"North Algona-Wilberforce Tp",NA,NA,NA,NA,NA,NA
"272",47077,"Petawawa T",3547076,"Renfrew","Town","Petawawa",84112,76392
"273",47091,"Laurentian Hills T",3547090,"Renfrew","Town","Laurentian Hills",76236,65350
"274",47096,"Deep River T",3547096,"Renfrew","Town","Deep River",89984,80604
"275",47098,"Head, Clara and Maria Tp",3547098,"Renfrew","Township","Head, Clara and Maria",NA,NA
"276",48001,"South Algonquin Tp",NA,NA,NA,NA,NA,NA
"277",48017,"Papineau-Cameron Tp",3548013,"Nipissing","Township","Papineau-Cameron",62755,51102
"278",48019,"Mattawan Tp",3548019,"Nipissing","Township","Mattawan",NA,NA
