"","MUNID","MUNTIER","LT1NO","Highest.CI","UT.Total.Core.CI","Recent.Weighted.CVA","UT.Weighted.CVA","LTUTAssessmentRatio","adjusted.core.infrastructure","Indicator1","min","median","max","Weighted.Indicator1","LT1NAME","MEDIAN.HOUSEHOLD.INCOME..FINANCE.2011....","households","Indicator2","Weighted.Indicator2","Infrastructure.Index"
"317",49019,"ST",86,20975677,NA,336625801,NA,NA,20975677,0.0623115546630367,0,0.0846711530463825,0.850215013459618,-0.264075751644688,"Armour Tp",52749,1074,0.370252052401075,-0.00565537305963035,-0.134865562352159
"318",49022,"ST",86,19993031,NA,70327239,NA,NA,19993031,0.284285737422452,0,0.0846711530463825,0.850215013459618,0.26074872348701,"Burk's Falls V",35453,476,1.18472811796989,1.22168364663454,0.741216185060775
"319",49024,"ST",86,10253100,NA,168793452,NA,NA,10253100,0.0607434700725239,0,0.0846711530463825,0.850215013459618,-0.282595454448945,"Ryerson Tp",38759,530,0.499122054183885,0.0938682054940659,-0.0943636244774393
"320",49028,"ST",86,18542098,NA,627953371,NA,NA,18542098,0.0295278261990571,0,0.0846711530463825,0.850215013459618,-0.651264626302162,"McKellar Tp",55799,1549,0.214526545066864,-0.735663834829595,-0.693464230565878
"321",49031,"ST",86,42677661,NA,708892082,NA,NA,42677661,0.0602033258427621,0,0.0846711530463825,0.850215013459618,-0.28897477267396,"McDougall Tp",69419,1868,0.329113262902525,-0.131361169099331,-0.210167970886645
"322",49032,"ST",86,140734438,NA,821089690,NA,NA,140734438,0.171399592168792,0,0.0846711530463825,0.850215013459618,0.113289967573634,"Parry Sound T",45854,2840,1.08069916642964,0.921137563609345,0.517213765591489
"323",49036,"ST",86,11319267,NA,972180779,NA,NA,11319267,0.0116431709456786,0,0.0846711530463825,0.850215013459618,-0.862489519431718,"Carling Tp",61099,1690,0.109621943473058,-2.39663715207722,-1.62956333575447
"324",49039,"ST",86,12091286,NA,541262814,NA,NA,12091286,0.0223390295569058,0,0.0846711530463825,0.850215013459618,-0.736167174377931,"Whitestone M",44088,1678,0.163440672020354,-1.27817201973525,-1.00716959705659
"325",49041,"ST",86,23218119,NA,662452211,NA,NA,23218119,0.0350487455766073,0,0.0846711530463825,0.850215013459618,-0.586060372209556,"Magnetawan M",50858,2013,0.226790041457882,-0.641809153038343,-0.613934762623949
"326",49046,"ST",86,21039997,NA,269176711,NA,NA,21039997,0.0781642547077559,0,0.0846711530463825,0.850215013459618,-0.0768490578492791,"Strong Tp",63976,827,0.397670230477904,0.0174406266940752,-0.0297042155776019
"327",49048,"ST",86,14970111,NA,104662645,NA,NA,14970111,0.143032034017485,0,0.0846711530463825,0.850215013459618,0.0762345359802116,"Sundridge V",38871,512,0.7521931014606,0.346100803961954,0.211167669971083
"328",49051,"ST",86,4514131,NA,51732493,NA,NA,4514131,0.0872591042538777,0,0.0846711530463825,0.850215013459618,0.00338053943257838,"Joly Tp",46226,264,0.369899646532386,-0.00661346766357793,-0.00161646411549977
"329",49054,"ST",86,9610954,NA,241203305,NA,NA,9610954,0.0398458636377308,0,0.0846711530463825,0.850215013459618,-0.529404499594999,"Machar Tp",55683,895,0.19285053049199,-0.930748984374518,-0.730076741984758
"330",49056,"ST",86,9418413,NA,68006280,NA,NA,9418413,0.138493283267369,0,0.0846711530463825,0.850215013459618,0.0703057434121848,"South River V",53867,507,0.344863301822822,-0.0796914717089679,-0.00469286414839158
"331",49058,"ST",86,14805789,NA,298745942,NA,NA,14805789,0.0495597995436537,0,0.0846711530463825,0.850215013459618,-0.414679052303621,"Powassan M",62886,1382,0.170360749262914,-1.18563235659913,-0.800155704451376
"332",49066,"ST",86,24881659,NA,513094320,NA,NA,24881659,0.0484933432901771,0,0.0846711530463825,0.850215013459618,-0.427274324897729,"Callander M",87649,1759,0.161386249437172,-1.30717280550256,-0.867223565200145
"333",49071,"ST",86,26311300,NA,338672960,NA,NA,26311300,0.0776894027796019,0,0.0846711530463825,0.850215013459618,-0.0824572480187679,"Nipissing Tp",69751,1289,0.292643546106638,-0.272353246252065,-0.177405247135416
"334",51001,"ST",83,7969836,NA,63585692,NA,NA,7969836,0.125340084369924,0,0.0846711530463825,0.850215013459618,0.0531242341903031,"Tehkummah Tp",37350,353,0.60448297439048,0.186423314236791,0.119773774213547
"335",51009,"ST",83,25897511,NA,353424463,NA,NA,25897511,0.0732759435500649,0,0.0846711530463825,0.850215013459618,-0.134581957211276,"Central Manitoulin M",54656,1541,0.307480474656805,-0.21095808213218,-0.172770019671728
"336",51011,"ST",83,23069761,NA,164933151,NA,NA,23069761,0.13987340240653,0,0.0846711530463825,0.850215013459618,0.0721085390592119,"Assiginack Tp",47578,407,1.19135859976164,1.24405940810957,0.658083973584392
