Geographic.code,CD_Name,CSD_type,CSD_Name,LT1NAME,AHHI,MHHI
3549060,Parry Sound,Municipality,Powassan,Powassan M,69268,62886
3549066,Parry Sound,Municipality,Callander,Callander M,92358,87649
3549071,Parry Sound,Township,Nipissing,Nipissing Tp,93678,69751
3551001,Manitoulin,Township,Tehkummah,Tehkummah Tp,51352,37350
3551006,Manitoulin,Township,Central Manitoulin,Central Manitoulin Tp,58865,54656
3551011,Manitoulin,Township,Assiginack,Assiginack Tp,58782,47578
3551017,Manitoulin,Town,Northeastern Manitoulin and the Islands,Northeastern Manitoulin & The Isl. T,70391,57446
3551027,Manitoulin,Municipality,Gordon/Barrie Island,Gordon/Barrie Island M,66461,58876
3551028,Manitoulin,Township,Burpee and Mills,Burpee and Mills Tp,59267,38107
3552013,Sudbury,Municipality,Markstay-Warren,Markstay-Warren M,69781,54996
3552026,Sudbury,Town,Espanola,Espanola T,72898,61353
3552028,Sudbury,Township,Baldwin,Baldwin Tp,65849,67035
3552092,Sudbury,Township,Chapleau,Chapleau Tp,74470,70201
3553005,Greater Sudbury / Grand Sudbury,City,Greater Sudbury / Grand Sudbury,Greater Sudbury C,76772,62481
3554001,Timiskaming,Township,Coleman,Coleman Tp,66338,54725
3554006,Timiskaming,Town,Latchford,Latchford T,40719,29255
3554014,Timiskaming,Township,Harris,Harris Tp,113492,90876
3554020,Timiskaming,City,Temiskaming Shores,Temiskaming Shores C,65325,49760
3554024,Timiskaming,Township,Kerns,Kerns Tp,64160,56797
3554029,Timiskaming,Township,Casey,Casey Tp,65274,49879
3554034,Timiskaming,Township,Hilliard,Hilliard Tp,NA,NA
3554049,Timiskaming,Township,Evanturel,Evanturel Tp,85745,72083
3554056,Timiskaming,Township,Matachewan,Matachewan Tp,53737,34176
3554058,Timiskaming,Township,McGarry,McGarry Tp,47905,29360
3554066,Timiskaming,Township,Gauthier,Gauthier Tp,NA,NA
3554068,Timiskaming,Town,Kirkland Lake,Kirkland Lake T,65108,48597
3556014,Cochrane,Township,Black River-Matheson,Black River - Matheson Tp,71131,58124
3556027,Cochrane,City,Timmins,Timmins C,78076,65461
3556031,Cochrane,Town,Iroquois Falls,Iroquois Falls T,69040,55385
